id|type|question|answer|attachment
1|general|Какой суд будет рассматривать дело?|"Уголовные дела рассматриваются по месту совершения преступления, гражданские – по месту нахождения ответчика. Бывают исключения, например, дело может рассматриваться по месту жительства потерпевшего, или привлекаемого к административной ответственности. 
Территория каждого населенного пункта разделена между судами, суд рассматривает дела по своей “территориальной подсудности”. (glossary_12) $ Уточнить, относится ли тот или иной адрес к подсудности конкретного суда, можно в разделе “Территориальная подсудность” на сайте суда. "|Render_rayonn_territ_podsudnost.gif
2|general|Как найти информацию о суде?|На сайте суда в разделе “О суде” (у районных и городских судов) или “Судебные участки” (у мировых судей) – информация о сотрудниках суда и судьях, номерах телефонов уголовной и гражданской канцелярии, режиме их работы, телефонах залов суда. Есть отдельный раздел “территориальная подсудность”(glossary_12) внутри раздела “о суде”.|Render_rayonn_territ_podsudnost.gif; Render_mir_sud.gif
3|general|Как найти информацию о заседании?|Если известно имя, фамилия или отчество участника(glossary_24) процесса, то информацию можно найти в разделе “Поиск информации по делам” внутри раздела “Судебное делопроизводство”. В картотеке нужно выбрать вид судопроизводства: по гражданским и административным делам / по уголовным делам / по делам об административных правонарушениях и стадию рассмотрения дела. $ Доступен также поиск по номеру дела, номеру статьи, рассматривающем дело судье, дате поступления дела.|Render_rayonn_poisk_po_familii.gif
4|general|Где проходят судебные заседания?|Обычно судебное заседание проходит в суде, которому дело подсудно(glossary_12), однако оно может проходить также и вне здания суда – в больнице, учреждении исправительной системы, воинской части, отделе полиции. Такие заседания называются выездными. Слушания могут проходить также на базе суда другого региона. $ В таком случае информация о деле будет указана на сайте суда, который рассматривает дело, но не на сайте суда, в здании которого проходят заседания. |Rayonn_sud_info_o_zasedanii.gif
5|general|Как найти информацию об арестованных?|На сайте суда в разделе “Производство по материалам” внутри раздела “Судебное делопроизводство” можно найти информацию об избрании меры пресечения, например, аресте. Суд для решения вопроса об избрании меры пресечения должен состояться в течение 48 часов после задержания человека – в это время обычно появляется информация на сайте суда. $ Пока ведется расследование, слушания о продлении ареста могут проходить несколько раз – как правило, каждые 2 месяца. После завершения следствия материалы дела передают судье, который будет рассматривать дело – с этого момента до начала слушания процесса может пройти от нескольких дней до нескольких недель.|
6|general|Всегда ли информация о деле есть на сайте суда?|"Публикация информации на сайте суда – это его обязанность. Однако суды не всегда выполняет ее добросовестно.
Информация может публиковаться с большими задержками, например, в случае массовых задержаний на публичных акциях, когда проходит много заседаний в нерабочее время. $ Также зачастую скрывается информация по делам с участием несовершеннолетних (на момент совершения преступления) и по делам о терроризме и экстремизме. В таких случаях могут отсутствовать имя и фамилия подсудимых – вместо этого может быть указано “Без имени”, “Информация скрыта” – или полностью отсутствовать вся информация о деле."|
7|general|Если информации о деле нет на сайте|Информацию о деле можно узнать по телефону канцелярии суда: уголовной, административной или гражданской. Ее могут узнать и участники(glossary_24) дела, и слушатели(glossary_19).|
8|general|Как найти текст решения суда?|"Тексты решений(glossary_18) публикуются в карточке дела на сайте суда приблизительно в течение месяца после вступления его в силу. Опубликованные решения обезличиваются: из них исключаются личные данные свидетелей и потерпевших. Все остальные сведения, не являющиеся персональными данными, в тексте должны оставаться. $ Не все решения публикуются: решения о безопасности государства, о преступлениях против половой неприкосновенности, по семейным делам, об ограничении дееспособности, о признании недееспособным, о принудительной госпитализации и принудительном психиатрическом освидетельствовании, о внесении исправлений или изменений в запись актов гражданского состояния, об установлении фактов, имеющих юридическое значение, рассматриваемых судами общей юрисдикции.
Если текста решения нет на сайте суда, можно направить запрос о выдаче копии решения – как показывает практика, документ не предоставляют, но публикуют решение на сайте."|
9|buildingentrance|Правила поведения в суде|В каждом суде есть правила поведения посетителей, как правило, они опубликованы на сайте и похожи друг на друга. Они устанавливают допуск посетителей в здание суда в рабочее время при представлении документов, удостоверяющих личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) $ В некоторых судах вводят различные ограничения, например, на фото- и видеосъемку в коридорах, на работу журналистов: требование представляться судье, обязательное сопровождение пресс-секретарем суда. Соблюдение правил поведения в суде обеспечивают судебные приставы(glossary_20).|
10|buildingentrance|Документы для прохода в суд|Паспорт или другой документ, удостоверяющий личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) В условиях COVID-19 в судах также требуют иметь средства индивидуальной защиты (маски, перчатки).|
11|buildingentrance|Я не гражданин России, пустят ли меня в суд?|В суд пускают при предъявлении документа, удостоверяющего личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) Для иностранного гражданина это паспорт иностранного гражданина (или любой иной документ, признаваемый на территории вашей страны документом, удостоверяющим личность).|
12|buildingentrance|Можно прийти в суд с детьми?|"Да, если вы – его/её законный представитель (родитель, усыновитель или опекун).
Ограничения на посещение суда несовершеннолетними (т.е. детьми в возрасте с 14 до 18 лет) обычно содержатся в правилах пребывания в конкретном суде. Они должны быть опубликованы на сайте."|
13|buildingentrance|Кто пропускает в суд?|Судебные приставы(glossary_20) – они проверяют документы, записывают данные документа, спрашивают цель посещения – номер зала или фамилию судьи, к которому вы идете, иногда уточняют статус, в котором вы пришли в суд. Также они просят пройти через рамку металлодетектора, установленную на входе в здание, и досматривают личные вещи на наличие запрещенных к проносу предметов. (question_15) $ Судебные приставы не являются сотрудниками суда, однако они выполняют распоряжения председателя(glossary_14) суда и судей. Законные требования приставов обязательны для присутствующих в суде.|
