type|question|answer|attachment
general|В каком суде будет рассматриваться дело?|"Уголовные дела рассматриваются по (question_4) месту совершения преступления, гражданские – по месту нахождения ответчика. Бывают исключения, например, дело может рассматриваться по месту жительства потерпевшего, или прилекаемого к административной ответственности. 
Территория каждого населенного пункта разделена между судами, суд рассматривает дела по своей “территориальной подсудности”. Уточнить, относится ли тот или иной адрес к подсудности конкретного суда, можно в разделе “Территориальная подсудность” на сайте суда. "|rayonnysudterritory.gif
general|Как найти информацию о суде?|Если известно имя участника процесса, (https://www.consultant.ru/document/cons_doc_LAW_149244/) информацию можно найти (https://www.consultant.ru/document/cons_doc_LAW_149244/) в разделе “Поиск по делам” внутри раздела “Судебное делопроизводство”. В картотеке нужно выбрать вид судопроизводства: по гражданским и административным делам / по уголовным делам / по делам об административных правонарушениях и стадию рассмотрения дела. Доступен также поиск по номеру дела, номеру статьи, рассматривающем дело судье, дате поступления дела. |
general|Как найти информацию о заседании?|По общему правилу судебное разбирательство проходит в суде, которому подсудно дело. Однако оно может проходить также в выездном судебном заседании в больнице, или учреждении исправительной системы, или воинской части, или отделе полиции. Слушания могут проходить также на базе суда другого региона – в таком случае информация о деле будет указана на сайте суда, который рассматривает дело, но не на сайте суда, в здании которого проходят заседания. |
general|Как найти информацию об арестованных?|На сайте суда в разделе “Производство по материалам” внутри раздела “Судебное делопроизводство” можно найти информацию об избрании меры пресечения, например, аресте. Суд для решения вопроса об избрании меры пресечения должен состояться в течение 48 часов после задержания человека – в это время обычно появляется информация на сайте суда. Пока ведется расследование дела, слушания о продлении ареста могут проходить несколько раз – как правило, каждые 2 месяца. После завершения следствия материалы дела передают судье, который будет рассматривать дело – с этого момента до начала слушания процесса может пройти от нескольких дней до нескольких недель.|
general|Всегда ли информация о деле есть на сайте суда?|"Публикация информации на сайте суда - это его обязанность. Однако суды не всегда выполняет ее добросовестно. 
Информация может публиковаться с большими задержками, например, в случае массовых задержаний на публичных акциях, когда проходит много заседаний в нерабочее время. 
Также зачастую скрывается информация по делам с участием несовершеннолетних (на момент совершения преступления) и по делам о терроризме и экстремизме. В таких случаях могут отсутствовать имя и фамилия подсудимых – вместо этого может быть указано “Без имени”, “Информация скрыта” – или полностью отсутствовать вся информация о деле. "|
general|Если нформации на сайте нет|Информацию о деле можно узнать по телефону канцелярии суда: уголовной, административной или гражданской. Ее могут узнать и участники дела, и слушатели.|test.pdf
general|Как найти текст решения суда?|"Тексты решений публикуются в карточке дела на сайте суда приблизительно в течение месяца после вступления его в силу. Опубликованные решения обезличиваются: из них исключаются личные данные свидетелей и потерпевших. Все остальные сведения, не являющиеся персональными данными, в тексте должны оставаться.
Подлежат публикации не все решения судов: не публикуются решения о безопасности государства, о преступлениях против половой неприкосновенности, по семейным делам, об ограничении дееспособности, о признании недееспособным, о принудительной госпитализации и принудительном психиатрическом освидетельствовании, о внесении исправлений или изменений в запись актов гражданского состояния, об установлении фактов, имеющих юридическое значение, рассматриваемых судами общей юрисдикции. 
Если текста решения нет на сайте суда, можно направить запрос о выдаче копии решения – документ, как показывает практика, не предоставляют, но публикуют решение на сайте."|
general|Где искать информацию о жалобах на решения суда?|"Сведения об обжаловании судебного решения размещаются в дополнительной вкладке карточки дела на сайте того же суда, который вынес решение. 
После передачи апелляционной жалобы в вышестоящий суд на его сайте также появится карточка дела с информацией об участниках и дате рассмотрения."|
buildingentrance|Существуют ли правила поведения в судах?|В каждом суде есть правила поведения посетителей, как правило, они опубликованы на сайте и похожи друг на друга. Они устанавливают допуск посетителей в здание суда в рабочее время при представлении документов, удостоверяющих личность. В некоторых судах вводят различные ограничения, например, на фото- и видеосъемку в коридорах, на работу журналистов: требование представляться судье, обязательное сопровождение пресс-секретарем суда. Соблюдение правил поведения в суде обеспечивают судебные приставы.|
buildingentrance|Что нужно взять в суд?|Паспорт или другой документ, удостоверяющий личность. В условиях COVID-19 в судах также требуют иметь средства индивидуальной защиты (маски, перчатки).|
